domain,model,horizon,n_origins,mae_model,mae_baseline,skill
wind,extratrees,41,351,3.1688700854700858,4.008404558404559,0.20944354810050103
wind,extratrees,42,350,3.0873531428571432,3.8541714285714286,0.19895801209820885
wind,extratrees,43,350,3.0899108571428573,3.8838000000000004,0.20441040806868094
wind,extratrees,44,350,3.138775428571428,3.8398857142857143,0.18258623768564552
wind,extratrees,45,350,3.2520457142857153,3.863971428571429,0.15836703909375238
wind,extratrees,46,350,3.397634857142857,4.022428571428571,0.1553274851724259
wind,extratrees,47,350,3.165351428571429,3.8703428571428566,0.18215219028214535
wind,extratrees,48,350,2.9351519999999995,3.904742857142857,0.24831106493202415
wind,knn,1,352,2.4467045454545455,2.289659090909091,-0.06858901186163102
wind,knn,2,352,2.695778409090909,2.8569886363636363,0.05642662530079756
wind,knn,3,352,2.7184318181818186,2.9699715909090902,0.08469433630180845
wind,knn,4,352,2.7989204545454545,3.1241761363636367,0.1041092651699086
wind,knn,5,352,2.7625113636363636,3.054090909090909,0.09547179639827363
wind,knn,6,352,2.8323863636363638,3.2537784090909088,0.12950852592702522
wind,knn,7,352,2.7744829545454546,3.2374431818181817,0.14300180768353243
wind,knn,8,352,2.8402159090909094,3.431988636363636,0.17242852176216394
wind,knn,9,352,2.843477272727273,3.4388068181818183,0.17312096227880314
wind,knn,10,352,2.8017102272727277,3.3134659090909095,0.15444724522866404
wind,knn,11,352,2.919306818181818,3.4072443181818177,0.14320590319756532
wind,knn,12,352,2.9896704545454544,3.5420738636363636,0.15595479664102796
wind,knn,13,352,3.0372386363636363,3.6944886363636367,0.17790012764714036
wind,knn,14,352,2.9655397727272725,3.7011647727272727,0.19875499881026404
wind,knn,15,352,2.937596590909091,3.7579261363636367,0.2182931531082032
wind,knn,16,352,2.971693181818182,3.764375,0.21057461548910983
wind,knn,17,352,2.9592670454545456,3.6564204545454544,0.19066554783770762
wind,knn,18,351,2.8730997150997157,3.521880341880342,0.1842142730023134
wind,knn,19,351,2.933823361823362,3.5243874643874644,0.16756503322393423
wind,knn,20,351,2.983527065527065,3.448034188034188,0.13471650719680084
wind,knn,21,351,3.2109116809116807,3.569344729344729,0.10041984610963894
wind,knn,22,351,3.3517264957264956,3.528233618233618,0.050027050815158014
wind,knn,23,351,3.131076923076923,3.3898860398860395,0.07634743875278382
wind,knn,24,351,3.018957264957265,3.4789458689458685,0.13222068445922142
wind,knn,25,351,3.23394301994302,3.703105413105413,0.12669431215811777
wind,knn,26,351,3.1538632478632476,3.724472934472934,0.1532054861583887
wind,knn,27,351,3.1936809116809117,3.717264957264958,0.1408519574481133
wind,knn,28,351,3.0972934472934477,3.737777777777778,0.17135430958260922
wind,knn,29,351,3.0736182336182334,3.6527920227920223,0.1585564646330715
wind,knn,30,351,3.0616296296296297,3.7214814814814807,0.177308917197452
wind,knn,31,351,2.981025641025641,3.802165242165242,0.21596631099388564
wind,knn,32,351,3.15814245014245,3.8619943019943017,0.18225087786597416
wind,knn,33,351,3.120524216524217,3.8074643874643876,0.18041932925277981
wind,knn,34,351,3.050091168091168,3.6345868945868944,0.16081489958769024
wind,knn,35,351,3.0796410256410254,3.6398290598290597,0.1539050392147655
wind,knn,36,351,3.1722222222222225,3.8474074074074074,0.17549095109742008
wind,knn,37,351,3.2244216524216522,4.041566951566952,0.20218526847080565
wind,knn,38,351,3.215441595441595,4.277037037037037,0.24820814793104384
wind,knn,39,351,3.104358974358975,4.279259259259259,0.27455693000093195
wind,knn,40,351,3.0932535612535617,4.235242165242166,0.2696395057077703
wind,knn,41,351,3.0832934472934475,4.008404558404558,0.230792849781442
wind,knn,42,350,3.0465085714285722,3.8541714285714286,0.2095555094294862
wind,knn,43,350,3.03464,3.8838000000000004,0.2186415366393739
wind,knn,44,350,3.09028,3.8398857142857143,0.1952156314176018
wind,knn,45,350,3.23788,3.863971428571429,0.16203314132757562
wind,knn,46,350,3.3434171428571426,4.022428571428571,0.16880633590226224
wind,knn,47,350,3.249468571428571,3.8703428571428566,0.16041841992588335
