domain,model,horizon,n_origins_x,mae_model,mae_baseline,skill,n_origins_y,dm_stat,p_value,p_value_bh,significant_bh,h_relax,h_strict,h_start,h_end,n_sign_changes
pm25,lightgbm,20,365,68.91731778842617,67.72054794520548,-0.0176721819231149,365,-0.3358068088456173,0.7372100289443231,0.7922257027461382,False,48,19,30,48,1
pm25,lightgbm,21,365,72.65339326999991,69.61643835616438,-0.0436241063970865,365,-0.8348518800169666,0.4043487033521282,0.5341854429606098,False,48,19,30,48,1
pm25,lightgbm,22,365,76.13807919730331,73.07123287671233,-0.0419706387842866,365,-0.7509421289924615,0.4531726688527921,0.5878996785117304,False,48,19,30,48,1
pm25,lightgbm,23,365,77.5409748379563,75.97534246575343,-0.0206071117469275,365,-0.4406324527820726,0.6597406699263084,0.7364547013130884,False,48,19,30,48,1
pm25,lightgbm,24,365,78.59782806318499,78.47123287671234,-0.0016132687334167,365,-0.0339192315745335,0.9729601493612026,0.9729601493612026,False,48,19,30,48,1
pm25,lightgbm,25,365,81.75721615337191,80.1917808219178,-0.0195211443792535,365,-0.3998175105838485,0.6895254425655781,0.7514157884505716,False,48,19,30,48,1
pm25,lightgbm,26,365,82.97788063418291,82.17534246575343,-0.0097661676160818,365,-0.2089175269608205,0.8346294839334107,0.8646521272403679,False,48,19,30,48,1
pm25,lightgbm,27,365,86.99464391425109,85.23287671232876,-0.0206700427097925,365,-0.4533078143379911,0.6505972137408333,0.7352757923187714,False,48,19,30,48,1
pm25,lightgbm,28,365,87.70878760324364,85.55890410958904,-0.0251275249026203,365,-1.097425790549581,0.2731807398706396,0.41408448990918,False,48,19,30,48,1
pm25,lightgbm,29,365,85.53065191764405,84.18904109589042,-0.015935694293341,365,-0.393723158530447,0.694015971277264,0.7514157884505716,False,48,19,30,48,1
pm25,lightgbm,30,365,85.60935337925316,86.15068493150685,0.0062835432206262,365,0.1433115568326139,0.8861234298084146,0.898604041495857,False,48,19,30,48,1
pm25,lightgbm,31,365,83.54552380254628,84.33698630136986,0.0093845243176625,365,0.165718463140207,0.8684705179728223,0.8869486140999036,False,48,19,30,48,1
pm25,lightgbm,32,365,81.14948826851867,81.99178082191781,0.0102728900989303,365,0.212907235022999,0.8315185048241758,0.8646521272403679,False,48,19,30,48,1
pm25,lightgbm,33,365,78.47577741099069,80.25753424657535,0.0222004931039939,365,0.6594140130505528,0.5100469094399975,0.6361995927942158,False,48,19,30,48,1
pm25,lightgbm,34,365,78.79389209296515,80.07945205479452,0.0160535559228067,365,0.4604754832926969,0.6454499312811044,0.7352757923187714,False,48,19,30,48,1
pm25,lightgbm,35,365,79.540641771192,81.61917808219178,0.0254662734891383,365,0.8514886775798307,0.3950577745180119,0.5271287813813833,False,48,19,30,48,1
pm25,lightgbm,36,365,79.5580549488088,82.88493150684931,0.0401384967998144,365,1.0857079700573158,0.2783267082426022,0.4141978152178252,False,48,19,30,48,1
pm25,lightgbm,37,365,77.29195358072955,82.56712328767124,0.0638894695236325,365,2.536951546772108,0.0115991077962809,0.0316116081043326,True,48,19,30,48,1
pm25,lightgbm,38,365,76.34036071592173,82.34794520547945,0.0729536659909028,365,3.18618031998152,0.0015662122499791,0.0090213825598796,True,48,19,30,48,1
pm25,lightgbm,39,365,77.86123473876341,83.1041095890411,0.0630880335064568,365,5.858179074829261,1.0476317369167988e-08,1.831020348674884e-07,True,48,19,30,48,1
pm25,lightgbm,40,365,75.70605205135088,83.4876712328767,0.0932068060662529,365,4.253898802301494,2.674648107858779e-05,0.0002962687134858,True,48,19,30,48,1
pm25,lightgbm,41,365,75.70254498208094,83.66575342465754,0.0951788290503785,365,3.160140223908505,0.0017090082158517,0.0094652762724096,True,48,19,30,48,1
pm25,lightgbm,42,365,77.22332190360231,84.36712328767123,0.0846751803982969,365,2.806144121093102,0.0052833512310939,0.0205622318183114,True,48,19,30,48,1
pm25,lightgbm,43,365,78.8945485193651,86.1972602739726,0.0847209265282479,365,1.8714842350577128,0.0620798758107044,0.1277071730963062,False,48,19,30,48,1
pm25,lightgbm,44,365,80.24346677350769,88.46849315068494,0.0929712498117028,365,2.164574377940955,0.0310698351470783,0.0699071290809263,False,48,19,30,48,1
pm25,lightgbm,45,365,82.37511427633729,89.62191780821918,0.080859723928127,365,2.058776632163432,0.0402267656335519,0.0864575261377833,False,48,19,30,48,1
pm25,lightgbm,46,365,84.79257428925392,91.03561643835616,0.0685780180697699,365,1.3588431484491863,0.1750376899819923,0.2975061051037398,False,48,19,30,48,1
pm25,lightgbm,47,365,86.60451577742408,92.43013698630136,0.0630272917343037,365,1.16540691018766,0.2446174330755484,0.3828794604660758,False,48,19,30,48,1
pm25,lightgbm,48,365,86.89464546160725,94.34794520547943,0.0789980081456964,365,1.6079835953959998,0.1087057601485319,0.2006875571972897,False,48,19,30,48,1
pm25,mlp,1,365,19.104838971839687,15.073972602739726,-0.2674057115088124,365,-6.381460862425949,5.338627317996725e-10,1.4358889577348322e-08,True,48,36,13,48,1
pm25,mlp,2,365,30.185434061316005,23.71780821917808,-0.2726907049070513,365,-6.356620996718435,6.175866484880999e-10,1.4358889577348322e-08,True,48,36,13,48,1
pm25,mlp,3,365,39.63954876240772,32.06849315068493,-0.2360901579050678,365,-5.036667095316115,7.471197631669924e-07,1.1580356329088382e-05,True,48,36,13,48,1
pm25,mlp,4,365,45.63244295823562,37.394520547945206,-0.2202975807572718,365,-4.292645067952886,2.2666718629382743e-05,0.0002172511510817,True,48,36,13,48,1
pm25,mlp,5,365,47.27008094572017,40.95890410958904,-0.1540855883068803,365,-2.852849295790693,0.0045804399328441,0.0141993637918169,True,48,36,13,48,1
pm25,mlp,6,365,52.06814302069979,46.605479452054794,-0.1172107578952104,365,-2.201326275152037,0.028339997666956,0.0712329671088354,False,48,36,13,48,1
pm25,mlp,7,365,51.25334390589809,46.21917808219178,-0.1089194146800713,365,-2.141432997268834,0.032902586052963,0.0788775305706482,False,48,36,13,48,1
pm25,mlp,8,365,54.05594338096068,49.18630136986302,-0.0990040290787415,365,-2.025964831928288,0.0434973671275835,0.0986647595820797,False,48,36,13,48,1
pm25,mlp,9,365,51.047843902987154,49.86027397260274,-0.0238179583817963,365,-0.3960025363581249,0.6923351737365158,0.7400824270976548,False,48,36,13,48,1
pm25,mlp,10,365,52.622717725848666,51.42465753424658,-0.0232973878494813,365,-0.4362635475945565,0.6629041626105687,0.716861478171894,False,48,36,13,48,1
pm25,mlp,11,365,55.69217203616827,54.37534246575343,-0.0242174027914252,365,-0.4454330970365242,0.6562715911313495,0.716861478171894,False,48,36,13,48,1
pm25,mlp,12,365,60.84088499804042,59.14794520547945,-0.0286221235020034,365,-0.6314267230693538,0.528157861140909,0.6139835135763068,False,48,36,13,48,1
pm25,mlp,13,365,59.119632121900544,61.07671232876712,0.032042985489001,365,0.9670635031166884,0.3341543730597498,0.4376951647120666,False,48,36,13,48,1
pm25,mlp,14,365,57.749372575751835,61.87397260273973,0.0666613093274256,365,1.752147043421695,0.0805905568193572,0.1665538174266716,False,48,36,13,48,1
pm25,mlp,15,365,60.308028637889485,63.21917808219178,0.0460485177538607,365,1.0647931894817908,0.2876753354405392,0.3821972313710021,False,48,36,13,48,1
pm25,mlp,16,365,59.56701084946428,63.56986301369863,0.0629677645108622,365,1.2393739239517434,0.2160055441116111,0.3463537172824109,False,48,36,13,48,1
pm25,mlp,17,365,62.551533381246486,64.31506849315069,0.0274202477463273,365,0.5864251877076466,0.5579533013840523,0.6406130497372452,False,48,36,13,48,1
pm25,mlp,18,365,63.62685797307836,65.57534246575342,0.0297136761991392,365,0.6930915523008457,0.4886940803021273,0.5902409021830889,False,48,36,13,48,1
pm25,mlp,19,365,62.615853825484905,66.64383561643835,0.0604404256402059,365,1.0818665792874735,0.2800280099792847,0.377429056928601,False,48,36,13,48,1
pm25,mlp,20,365,64.2570371738896,67.72054794520548,0.0511441634246417,365,1.1338664310910014,0.2575967824155283,0.3638500290362497,False,48,36,13,48,1
pm25,mlp,21,365,68.627479517709,69.61643835616438,0.0142058235354668,365,0.2540514753719921,0.7995992375776333,0.8355362819631449,False,48,36,13,48,1
pm25,mlp,22,365,70.74158105497348,73.07123287671233,0.0318819284966698,365,0.529523422655152,0.59676519835994,0.6686646198490894,False,48,36,13,48,1
pm25,mlp,23,365,73.35897244365248,75.97534246575343,0.0344370941569668,365,0.715820526766717,0.4745611127354945,0.5807129405842236,False,48,36,13,48,1
pm25,mlp,24,365,75.32877084502307,78.47123287671234,0.0400460387391446,365,0.7488852492408073,0.4544100185315338,0.563468422979102,False,48,36,13,48,1
pm25,mlp,25,365,78.28672447679834,80.1917808219178,0.0237562543890879,365,0.3773449687630128,0.706137167218708,0.7462585971743164,False,48,36,13,48,1
pm25,mlp,26,365,78.82892378589722,82.17534246575343,0.0407229051859544,365,0.6646794290199676,0.5066764180719683,0.604114190778116,False,48,36,13,48,1
pm25,mlp,27,365,82.21867534166878,85.23287671232876,0.035364304091639,365,0.7827067951271455,0.434308213553418,0.5458197818982146,False,48,36,13,48,1
