domain,model,horizon,n_origins_x,mae_model,mae_baseline,skill,n_origins_y,dm_stat,p_value,p_value_bh,significant_bh,h_relax,h_strict,h_start,h_end,n_sign_changes
pm25,lightgbm,1,365,17.193481112702937,15.073972602739726,-0.1406071621476867,365,-2.9218597240587467,0.0036966440880037,0.0183557499542254,True,48,19,30,48,1
pm25,lightgbm,2,365,26.61655865966939,23.71780821917808,-0.1222183101281422,365,-2.66457100489837,0.0080516669388419,0.02648770111361,True,48,19,30,48,1
pm25,lightgbm,3,365,36.00378292028292,32.06849315068493,-0.1227151444599117,365,-2.8442678277023297,0.0047028402027546,0.019917911446961,True,48,19,30,48,1
pm25,lightgbm,4,365,41.975743155311974,37.394520547945206,-0.1225105320308352,365,-2.5689048378748485,0.0105998462237602,0.0311505684943156,True,48,19,30,48,1
pm25,lightgbm,5,365,46.48712937061238,40.95890410958904,-0.1349700481788307,365,-3.1456449459390936,0.0017936134417091,0.009565938355782,True,48,19,30,48,1
pm25,lightgbm,6,365,53.81866407724618,46.605479452054794,-0.1547711709008792,365,-3.493950914545028,0.0005345774351968,0.0036656738413495,True,48,19,30,48,1
pm25,lightgbm,7,365,52.10174762247713,46.21917808219178,-0.1272755116896355,365,-2.7575809517099263,0.0061166922954172,0.022020092263502,True,48,19,30,48,1
pm25,lightgbm,8,365,55.57660473351638,49.18630136986302,-0.1299203881097019,365,-2.8208657776449604,0.0050518889160349,0.0202075556641396,True,48,19,30,48,1
pm25,lightgbm,9,365,54.251774464638395,49.86027397260274,-0.0880761404249141,365,-1.7324804426320315,0.0840350930102113,0.1635277485604113,False,48,19,30,48,1
pm25,lightgbm,10,365,59.25566273236321,51.42465753424658,-0.152281134646381,365,-2.536722608341877,0.0116065603390269,0.0316116081043326,True,48,19,30,48,1
pm25,lightgbm,11,365,62.19821944051594,54.37534246575343,-0.1438680957216869,365,-2.4914113665462296,0.0131682539123674,0.0344768829705619,True,48,19,30,48,1
pm25,lightgbm,12,365,65.72170454530423,59.14794520547945,-0.1111409587769718,365,-2.345078330544982,0.0195595917458251,0.0469430201899802,True,48,19,30,48,1
pm25,lightgbm,13,365,64.2841763143413,61.07671232876712,-0.0525153346222837,365,-1.0219803242959045,0.3074689406512045,0.438371558948252,False,48,19,30,48,1
pm25,lightgbm,14,365,65.09022580448267,61.87397260273973,-0.0519807128336953,365,-0.9222741413419188,0.3569964901216926,0.4895951864526071,False,48,19,30,48,1
pm25,lightgbm,15,365,66.31896913018043,63.21917808219178,-0.0490324477796688,365,-0.9659035960458856,0.3347337125044058,0.4679772291323732,False,48,19,30,48,1
pm25,lightgbm,16,365,66.84582757954642,63.56986301369863,-0.0515332959761429,365,-1.068295937227051,0.2860949990173866,0.416138180388926,False,48,19,30,48,1
pm25,lightgbm,17,365,67.7172952825548,64.31506849315069,-0.0528993728703941,365,-1.1355058233704691,0.2569105496633443,0.3977969801238881,False,48,19,30,48,1
pm25,lightgbm,18,365,67.62356449244699,65.57534246575342,-0.0312346371315292,365,-0.7055882526254098,0.4808955305116338,0.6128226229528785,False,48,19,30,48,1
pm25,lightgbm,19,365,68.31862556988878,66.64383561643835,-0.0251304556221749,365,-0.4726714298002337,0.6367308939622494,0.7352757923187714,False,48,19,30,48,1
