domain,model,horizon,n_origins,mae_model,mae_baseline,skill
traffic,mlp,30,104,17.82981270751293,13.36960183913309,-0.3336083543882895
traffic,mlp,31,104,18.123955571763357,14.066228187321936,-0.28847302421118837
traffic,mlp,32,104,18.851552279279737,15.365454886548637,-0.2268788928457257
traffic,mlp,33,104,18.27086068238118,14.73841257122507,-0.23967629445065053
traffic,mlp,34,104,17.994190342753296,14.426781262718766,-0.24727685372573815
traffic,mlp,35,104,16.576152024732327,14.375001907814408,-0.1531234660721228
traffic,mlp,36,104,15.709964071823698,15.054077635327635,-0.04356868965235594
traffic,mlp,37,104,17.018274109344212,15.164590646621898,-0.12223761959148205
traffic,mlp,38,104,17.740243461642926,14.738683162901914,-0.20365186398036594
traffic,mlp,39,104,19.089354741030125,18.26606634106634,-0.04507201411575079
traffic,mlp,40,104,20.993870827277593,22.03633527930403,0.04730661604180131
traffic,mlp,41,104,26.62720991687145,30.44198177401302,0.12531286187149848
traffic,mlp,42,103,27.62160535139376,30.748677569733392,0.10169777907514554
traffic,mlp,43,103,20.32842833993385,17.183191747572817,-0.18304146508784136
traffic,mlp,44,103,20.18525936223317,13.836236001952022,-0.4588692589072221
traffic,mlp,45,103,18.134812254480426,13.900599732881284,-0.30460646324368934
traffic,mlp,46,103,18.449343971086307,14.541442890532696,-0.2687423187624576
traffic,mlp,47,103,17.474979664942722,13.622802691734734,-0.2827741882766306
traffic,mlp,48,103,17.506257299248794,15.288506511018644,-0.14506000220700344
traffic,mlp,49,103,17.983153432159515,14.068193930754612,-0.2782844422443149
traffic,mlp,50,103,17.419338404168574,14.344297079673291,-0.2143737896263176
traffic,mlp,51,103,15.670328997197856,13.809529909590589,-0.13474746061522058
traffic,mlp,52,103,15.476478468149507,13.639277687882059,-0.13469927237420531
traffic,mlp,53,103,18.890374740638286,13.493088303282478,-0.40000378831307315
traffic,mlp,54,103,19.386891532070226,14.757646594236395,-0.31368449625577743
traffic,mlp,55,103,19.590255543095957,15.013221734216883,-0.304866862683276
traffic,mlp,56,103,19.050894857596834,15.860128037191146,-0.20118165584309988
traffic,mlp,57,103,18.46406156897877,15.640964195818567,-0.18049381980651336
traffic,mlp,58,103,16.304339090030286,15.36577477269225,-0.06108148344111064
traffic,mlp,59,103,14.874292878226735,14.031057045256075,-0.060097812320972555
traffic,mlp,60,103,15.236934744558976,14.099655185698873,-0.08066009727767187
traffic,mlp,61,103,17.215875726464294,15.069107335490829,-0.1424615501886688
traffic,mlp,62,103,17.078902507543447,14.848417193198747,-0.15021704235023536
traffic,mlp,63,103,19.21250866185674,17.407677415626445,-0.10368018680137903
traffic,mlp,64,103,21.05061026306601,20.917251309909076,-0.00637554864074108
traffic,mlp,65,103,27.658199565176858,28.6927174834335,0.03605506933436853
traffic,mlp,66,102,29.35651219616151,30.223191915655153,0.028675982401604516
traffic,mlp,67,102,19.16455905387996,18.917931385517168,-0.013036714392124171
traffic,mlp,68,102,18.6279057835578,14.92542859736487,-0.24806504965938547
traffic,mlp,69,102,16.93391284872253,14.39384596431165,-0.176468950043565
traffic,mlp,70,102,18.142606496570092,14.489347312999273,-0.25213414411657165
traffic,mlp,71,102,17.149186407731563,14.828260192966077,-0.15652046730785307
traffic,mlp,72,102,16.532482322766164,15.287932163606182,-0.08140735750533401
traffic,ridge,1,105,5.174783828926537,3.8643137440161253,-0.3391210371931288
traffic,ridge,2,105,6.778106993849107,5.316487780297304,-0.2749219548605957
traffic,ridge,3,105,7.62117221786886,6.526265432098764,-0.16776926975493667
traffic,ridge,4,105,8.550357525977013,7.002453388762913,-0.2210516873554742
traffic,ridge,5,105,10.293976923042111,6.897313869992441,-0.49246172018171364
traffic,ridge,6,105,12.2416707560925,8.389132968002016,-0.45922955361238205
traffic,ridge,7,105,13.18970731874266,8.69239417989418,-0.5173848591968973
traffic,ridge,8,105,14.07043537999011,9.012471025447216,-0.5612183762101925
traffic,ridge,9,105,14.19006884022864,8.96794249181154,-0.5823104188263168
traffic,ridge,10,105,14.8148442831228,9.904046674225246,-0.49583748647688064
traffic,ridge,11,105,13.96906205333726,10.154884101788864,-0.37560034297944345
traffic,ridge,12,105,12.646629755529327,10.430003464348703,-0.21252402252380653
traffic,ridge,13,105,12.47550994301982,10.888853300579493,-0.1457138413606771
traffic,ridge,14,105,12.958550840873304,10.919876858150669,-0.18669386195513327
traffic,ridge,15,105,15.639228490446987,13.727793209876541,-0.1392383503559227
traffic,ridge,16,105,18.10311026804277,18.38518172083648,0.015342326068718215
traffic,ridge,17,105,24.009464802506535,27.320351788863693,0.12118756785945706
traffic,ridge,18,104,23.970670971875766,26.823072153540902,0.10634133052833739
