horizon,n_common,model_mae,baseline_mae,skill,domain,baseline
43,340,78.69018275662577,88.7235294117647,0.11308552220205648,pm25,persistence
44,342,80.70243710534253,91.546783625731,0.11845688172643187,pm25,persistence
45,343,79.43279898082677,91.83381924198251,0.13503761864111297,pm25,persistence
46,343,80.35865587197893,94.10204081632654,0.14604768212384145,pm25,persistence
47,344,81.55468568798273,96.98837209302326,0.15912924479480706,pm25,persistence
48,341,82.75017273126049,100.56891495601172,0.17717942201668424,pm25,persistence
1,344,18.9421396584582,78.75,0.7594648932259276,pm25,seasonal_persistence
2,342,25.29634180000759,73.24853801169591,0.6546505570395356,pm25,seasonal_persistence
3,344,32.60556256954872,72.64825581395348,0.551185885961956,pm25,seasonal_persistence
4,344,35.837116536638185,69.94476744186046,0.48763691913870844,pm25,seasonal_persistence
5,344,38.136729192724985,67.02616279069767,0.43101726840883914,pm25,seasonal_persistence
6,346,40.77462145713737,66.91040462427746,0.39060865516955945,pm25,seasonal_persistence
7,344,41.70843807776236,64.59883720930233,0.35434692202545903,pm25,seasonal_persistence
8,345,44.07836237956549,66.05797101449275,0.33273211843132533,pm25,seasonal_persistence
9,345,47.55502836571605,65.76811594202898,0.27692883269404867,pm25,seasonal_persistence
10,343,50.094609412823,63.43731778425656,0.2103290119675404,pm25,seasonal_persistence
11,341,51.293755888865995,64.19648093841643,0.20098804266121684,pm25,seasonal_persistence
12,344,54.28522068996502,64.13953488372093,0.1536386912006903,pm25,seasonal_persistence
13,344,54.98333491239081,63.68313953488372,0.13661079975065327,pm25,seasonal_persistence
14,340,56.92985396424946,63.108823529411765,0.09790975682318981,pm25,seasonal_persistence
15,340,58.28882265377205,64.95294117647059,0.10259918029874582,pm25,seasonal_persistence
16,328,59.253307114270285,64.90853658536585,0.08712612806572784,pm25,seasonal_persistence
17,332,62.53492470612897,64.80722891566265,0.03506251150609696,pm25,seasonal_persistence
18,345,64.56816423991373,66.68695652173913,0.031772214422991496,pm25,seasonal_persistence
19,341,69.02509373252673,65.841642228739,-0.048350123053251925,pm25,seasonal_persistence
20,343,72.38611258419299,69.85131195335276,-0.03628851856831239,pm25,seasonal_persistence
21,344,72.14273201337484,68.34883720930233,-0.055507817820727334,pm25,seasonal_persistence
22,344,73.3727697995038,68.28488372093024,-0.0745096982132527,pm25,seasonal_persistence
23,345,75.12166473881899,71.45797101449276,-0.051270609454936666,pm25,seasonal_persistence
24,343,78.18476749254508,75.14285714285714,-0.04048169666885082,pm25,seasonal_persistence
25,341,78.92974762156234,102.51612903225806,0.23007483440263288,pm25,seasonal_persistence
26,339,76.76351444247483,98.63126843657817,0.22171218459148923,pm25,seasonal_persistence
27,341,76.56680839871599,97.14076246334311,0.21179527052189728,pm25,seasonal_persistence
28,341,75.7261132459972,95.5366568914956,0.2073606539110736,pm25,seasonal_persistence
29,341,72.75908617097745,90.7565982404692,0.19830527386896368,pm25,seasonal_persistence
30,343,72.81149540947422,90.4198250728863,0.19473970060457668,pm25,seasonal_persistence
31,341,69.75334480782291,84.95307917888563,0.17891916947538355,pm25,seasonal_persistence
32,342,69.51840618239667,84.08187134502924,0.17320576873071147,pm25,seasonal_persistence
33,343,71.60084883338095,85.10787172011662,0.15870474274288626,pm25,seasonal_persistence
34,341,72.17651800974885,83.16715542521995,0.13215117625795647,pm25,seasonal_persistence
35,339,75.58634488060223,83.40117994100295,0.09370173258854186,pm25,seasonal_persistence
36,343,77.24974150915041,84.42565597667638,0.08499684585818801,pm25,seasonal_persistence
37,343,75.99099808434627,81.65889212827989,0.06940939187651218,pm25,seasonal_persistence
38,339,76.30053786492067,81.15929203539822,0.05986688706400212,pm25,seasonal_persistence
39,339,77.63076212199323,81.95870206489676,0.052806350440695926,pm25,seasonal_persistence
40,328,79.17840572974355,82.15853658536585,0.03627293011147825,pm25,seasonal_persistence
41,332,75.74917336470102,81.61144578313252,0.0718314981701147,pm25,seasonal_persistence
42,344,77.4993780101354,84.42732558139535,0.08205811949569342,pm25,seasonal_persistence
43,340,78.69018275662577,86.93235294117648,0.09481130908912405,pm25,seasonal_persistence
44,342,80.70243710534253,91.62280701754386,0.11918833604508883,pm25,seasonal_persistence
45,343,79.43279898082677,90.98542274052478,0.12697224908922122,pm25,seasonal_persistence
46,343,80.35865587197893,92.18367346938776,0.12827670185367113,pm25,seasonal_persistence
47,344,81.55468568798273,96.2296511627907,0.15249941465528638,pm25,seasonal_persistence
48,341,82.75017273126049,100.56891495601172,0.17717942201668424,pm25,seasonal_persistence
1,108,6.060889666828831,4.223661020478151,-0.4349848715233051,traffic,persistence
2,108,6.840490656593418,5.668868802665099,-0.2066764807429493,traffic,persistence
3,108,6.981698112269458,6.849296063590044,-0.019330752744540547,traffic,persistence
4,108,8.513540691913692,7.281325017146776,-0.16922959377107505,traffic,persistence
5,108,9.054891860559861,7.157900683421517,-0.2650206060461251,traffic,persistence
6,108,10.796580950652443,8.668059842249658,-0.24555911555063292,traffic,persistence
7,108,10.819837562412275,9.00607638888889,-0.2013930478938737,traffic,persistence
8,108,11.320531324711954,9.292511145404664,-0.21824242635535485,traffic,persistence
9,108,11.01334879178669,9.187740667254555,-0.19870044123455388,traffic,persistence
10,108,10.97964985933081,10.073172031158142,-0.08998931273771227,traffic,persistence
11,108,11.461112378521243,10.311834950029393,-0.11145227149786496,traffic,persistence
12,108,11.395911257644578,10.609802750832843,-0.07409265989888714,traffic,persistence
13,108,11.835821922841447,11.056897290809328,-0.07044694470297497,traffic,persistence
14,108,12.217153882420394,11.1298311042524,-0.09769445447851921,traffic,persistence
15,108,15.31441525684826,13.919066296786204,-0.10024731043807389,traffic,persistence
16,108,18.435425052319136,18.37676183127572,-0.0031922501680126114,traffic,persistence
17,108,21.620216870311683,27.52415582745444,0.21450027365612323,traffic,persistence
18,107,22.08747144260068,27.051818783068782,0.18351251648836242,traffic,persistence
19,107,15.804468929067815,14.098082319636058,-0.12103678860316136,traffic,persistence
20,107,12.862492700168861,12.390264488453742,-0.038112843527688955,traffic,persistence
21,107,12.163908415891939,12.710170041536863,0.0429783097991403,traffic,persistence
22,107,11.99068807995063,12.674263524205113,0.053934135340408695,traffic,persistence
23,107,11.133494438943961,10.81125605745933,-0.029805822725130993,traffic,persistence
24,106,11.745058555957481,12.073427984925626,0.02719769641050851,traffic,persistence
25,106,11.900442287470737,12.19145546321254,0.023870257051746502,traffic,persistence
26,106,11.947997637954547,12.708619721473495,0.059850880755660696,traffic,persistence
27,106,11.69984096420857,13.463348869421983,0.13098582843817552,traffic,persistence
28,106,11.720964461048816,12.915230982330039,0.0924696215588523,traffic,persistence
29,106,13.53651857290927,12.84088736647699,-0.05417314135534945,traffic,persistence
30,106,15.391471230292074,13.611402178796046,-0.13077778674918838,traffic,persistence
31,106,15.205500666850089,14.33119322152341,-0.06100730286809575,traffic,persistence
32,106,16.079274606028555,15.589434211839873,-0.031421306734574106,traffic,persistence
33,106,15.071606933583487,14.927188779075571,-0.009674839425247717,traffic,persistence
34,106,14.426257945033784,14.596351826894281,0.01165317771712604,traffic,persistence
35,106,13.741101433608893,14.559377495757213,0.056202681906336704,traffic,persistence
36,106,13.887722937611276,15.253750499151444,0.08955355350909666,traffic,persistence
37,106,14.908240680964274,15.350365628431666,0.028802242120441468,traffic,persistence
38,106,15.041408957653628,14.953542727363482,-0.0058759473853216004,traffic,persistence
39,106,18.08446255130259,18.462429806828393,0.020472237916702052,traffic,persistence
40,106,21.217876061475085,22.11724693021863,0.040663780242682135,traffic,persistence
41,106,25.538699642223943,30.371499700509133,0.15912286538172415,traffic,persistence
42,105,25.98513891012118,30.612886117409925,0.15116990895729,traffic,persistence
43,105,18.900419993736087,17.31993291761149,-0.09125249408544223,traffic,persistence
44,105,15.215948356186464,14.083936759889141,-0.08037607776834643,traffic,persistence
45,105,14.345623774604014,14.156070798689846,-0.013390225198062211,traffic,persistence
46,105,14.336693328624174,14.77942901234568,0.02995621030769713,traffic,persistence
47,105,13.512876217941063,13.854651990425799,0.02466866527725986,traffic,persistence
48,104,14.001433209376192,15.592876221001221,0.10206218462002536,traffic,persistence
49,104,14.109785429192211,14.372378345034596,0.018270665406822206,traffic,persistence
50,104,13.554541241126893,14.613007478632479,0.07243315512246895,traffic,persistence
51,104,12.499676754906078,14.078552350427351,0.11214758138633096,traffic,persistence
52,104,12.967240914476356,13.943274636243386,0.07000032253757527,traffic,persistence
53,104,14.580034683551096,13.816735983923483,-0.055244502067330004,traffic,persistence
54,104,16.097470224778462,15.090669515669516,-0.06671676879965638,traffic,persistence
55,104,16.424838372981824,15.36242018976394,-0.06915695379337294,traffic,persistence
56,104,15.949987343365432,16.19751856939357,0.015282046133650695,traffic,persistence
57,104,16.203013217898445,15.952164415445667,-0.015725063754351343,traffic,persistence
58,104,14.160905244437533,15.664724193630445,0.09600034642195554,traffic,persistence
59,104,12.751565945253823,14.36022683913309,0.11202196956217292,traffic,persistence
60,104,14.234281396893099,14.434915865384616,0.013899247516408808,traffic,persistence
61,104,15.886138984203738,15.3875248015873,-0.03240379392044934,traffic,persistence
62,104,15.424419569435326,15.116994174806676,-0.02033641020653376,traffic,persistence
63,104,17.825781466692106,17.610064356939358,-0.012249649142692887,traffic,persistence
64,104,20.067685154358603,21.19070226648352,0.05299574775778659,traffic,persistence
65,104,25.844105628824465,28.45803317053317,0.0918520098014115,traffic,persistence
66,103,27.615209289023255,29.931597703806442,0.07738940091689828,traffic,persistence
67,103,17.290850970349382,19.02961132942929,0.09137130175595942,traffic,persistence
68,103,15.820276621707688,15.263483073919968,-0.036478800093740604,traffic,persistence
69,103,14.157453204030102,14.745937034468588,0.039908201768589335,traffic,persistence
70,103,14.822258616902065,14.838321582678379,0.0010825325281442755,traffic,persistence
71,103,13.35111291148687,15.160592926490986,0.1193541719494563,traffic,persistence
72,102,13.660269893981049,15.287932163606184,0.10646713055804113,traffic,persistence
1,108,6.060889666828831,10.286301868998628,0.41078049779042125,traffic,seasonal_persistence
2,108,6.840490656593418,10.171114417989417,0.3274590791649341,traffic,seasonal_persistence
3,108,6.981698112269458,10.693272952184989,0.34709437012520417,traffic,seasonal_persistence
4,108,8.513540691913692,10.745459472369195,0.20770808230161253,traffic,seasonal_persistence
5,108,9.054891860559861,11.516102660199882,0.21371907426164805,traffic,seasonal_persistence
6,108,10.796580950652443,12.780550962669018,0.15523352771031507,traffic,seasonal_persistence
7,108,10.819837562412275,12.482914768273565,0.13322827534544646,traffic,seasonal_persistence
8,108,11.320531324711954,15.39499589702136,0.2646616211893722,traffic,seasonal_persistence
9,108,11.01334879178669,14.335018310307662,0.23171714514884922,traffic,seasonal_persistence
10,108,10.97964985933081,13.617780288555753,0.19372690506998436,traffic,seasonal_persistence
11,108,11.461112378521243,12.565067423574366,0.08785906257708587,traffic,seasonal_persistence
12,108,11.395911257644578,11.869563859494415,0.03990480252321693,traffic,seasonal_persistence
13,108,11.835821922841447,10.645182980599648,-0.1118476727372073,traffic,seasonal_persistence
14,108,12.217153882420394,9.747683960415442,-0.25333914517882095,traffic,seasonal_persistence
15,108,15.31441525684826,15.894669189692339,0.03650619751308648,traffic,seasonal_persistence
16,108,18.435425052319136,20.24824245541838,0.08952961755029454,traffic,seasonal_persistence
17,108,21.620216870311683,20.555873077111503,-0.05177808742092793,traffic,seasonal_persistence
18,107,22.08747144260068,19.46760680907877,-0.13457558801219105,traffic,seasonal_persistence
19,107,15.804468929067815,14.28313028482421,-0.10651297116991376,traffic,seasonal_persistence
20,107,12.862492700168861,7.539792253869357,-0.7059478918093454,traffic,seasonal_persistence
21,107,12.163908415891939,9.736032611383077,-0.24937013888699,traffic,seasonal_persistence
22,107,11.99068807995063,10.412490110270484,-0.1515677761003078,traffic,seasonal_persistence
23,107,11.133494438943961,8.7695204717401,-0.26956707323072004,traffic,seasonal_persistence
24,106,11.745058555957481,12.073427984925626,0.02719769641050851,traffic,seasonal_persistence
25,106,11.900442287470737,12.615154549765398,0.05665505400470516,traffic,seasonal_persistence
26,106,11.947997637954547,12.87842480283518,0.0722469695731578,traffic,seasonal_persistence
27,106,11.69984096420857,12.32780772686433,0.050939045819745954,traffic,seasonal_persistence
28,106,11.720964461048816,11.531188230008983,-0.016457647490824456,traffic,seasonal_persistence
29,106,13.53651857290927,11.898889388040331,-0.13762874260474534,traffic,seasonal_persistence
30,106,15.391471230292074,12.347064365578515,-0.2465692876114618,traffic,seasonal_persistence
31,106,15.205500666850089,12.51554887940501,-0.21492879084764183,traffic,seasonal_persistence
32,106,16.079274606028555,16.200296371169014,0.007470342663350005,traffic,seasonal_persistence
33,106,15.071606933583487,16.469449747928522,0.08487489477423804,traffic,seasonal_persistence
34,106,14.426257945033784,17.49727868872916,0.17551419271121105,traffic,seasonal_persistence
35,106,13.741101433608893,15.488643368773086,0.11282730795438434,traffic,seasonal_persistence
36,106,13.887722937611276,15.273238619347111,0.09071525144514914,traffic,seasonal_persistence
37,106,14.908240680964274,15.172101177997403,0.017391163816899646,traffic,seasonal_persistence
38,106,15.041408957653628,13.551586677647999,-0.10993711035054998,traffic,seasonal_persistence
39,106,18.08446255130259,19.66213187581112,0.08023897583808914,traffic,seasonal_persistence
40,106,21.217876061475085,26.379512952979933,0.19566839238863842,traffic,seasonal_persistence
41,106,25.538699642223943,27.617689615154237,0.07527747620820247,traffic,seasonal_persistence
42,105,25.98513891012118,27.260722789115647,0.04679200507125836,traffic,seasonal_persistence
43,105,18.900419993736087,16.90496630133535,-0.11803949542585679,traffic,seasonal_persistence
44,105,15.215948356186464,9.84331853111615,-0.5458148903834268,traffic,seasonal_persistence
45,105,14.345623774604014,11.821155202821869,-0.21355514993826663,traffic,seasonal_persistence
46,105,14.336693328624174,13.278431279919374,-0.0796978217076878,traffic,seasonal_persistence
47,105,13.512876217941063,11.697957294028722,-0.15514836294014978,traffic,seasonal_persistence
48,104,14.001433209376192,15.592876221001221,0.10206218462002536,traffic,seasonal_persistence
49,104,14.109785429192211,15.167476533882784,0.06973415138159511,traffic,seasonal_persistence
50,104,13.554541241126893,15.72654691951567,0.13811078105731223,traffic,seasonal_persistence
51,104,12.499676754906078,15.233299946581196,0.17945049340990782,traffic,seasonal_persistence
52,104,12.967240914476356,15.029085902523402,0.13719031226648715,traffic,seasonal_persistence
53,104,14.580034683551096,15.692349346255599,0.07088260898103926,traffic,seasonal_persistence
54,104,16.097470224778462,17.139391915954416,0.06079105351491898,traffic,seasonal_persistence
55,104,16.424838372981824,16.821279443935694,0.023567830989026928,traffic,seasonal_persistence
56,104,15.949987343365432,19.008708854802606,0.16091158714677134,traffic,seasonal_persistence
57,104,16.203013217898445,19.104005456349206,0.15185256542557246,traffic,seasonal_persistence
58,104,14.160905244437533,17.329333282458283,0.18283611875755246,traffic,seasonal_persistence
59,104,12.751565945253823,14.906621705840454,0.1445703663186324,traffic,seasonal_persistence
60,104,14.234281396893099,15.121033017908019,0.058643587376915884,traffic,seasonal_persistence
61,104,15.886138984203738,16.595565603378102,0.04274796268648762,traffic,seasonal_persistence
62,104,15.424419569435326,14.239515287952788,-0.08321240277644959,traffic,seasonal_persistence
63,104,17.825781466692106,17.146741135022385,-0.03960171360392062,traffic,seasonal_persistence
64,104,20.067685154358603,23.86379763176638,0.15907411452209808,traffic,seasonal_persistence
65,104,25.844105628824465,31.78872767857143,0.18700408867745266,traffic,seasonal_persistence
66,103,27.615209289023255,30.164298235475417,0.08450682083013783,traffic,seasonal_persistence
67,103,17.290850970349382,18.909055709662507,0.0855782945568363,traffic,seasonal_persistence
68,103,15.820276621707688,11.130734383829045,-0.42131471978090707,traffic,seasonal_persistence
69,103,14.157453204030102,11.393162467252274,-0.24262716736668288,traffic,seasonal_persistence
70,103,14.822258616902065,12.431131851338161,-0.19234988367583838,traffic,seasonal_persistence
71,103,13.35111291148687,13.062924115169261,-0.022061583897815984,traffic,seasonal_persistence
72,102,13.660269893981049,15.287932163606184,0.10646713055804113,traffic,seasonal_persistence
1,354,2.2039574368450037,2.288728813559322,0.037038628697336096,wind,persistence
2,354,2.495022272107143,2.8575988700564974,0.1268815584120755,wind,persistence
3,354,2.5439998993188655,2.9680508474576275,0.14287186100669247,wind,persistence
4,354,2.7133412171203934,3.1215254237288135,0.1307643383281576,wind,persistence
5,354,2.5883749452486646,3.0523446327683614,0.15200435840001914,wind,persistence
6,354,2.7047152629650117,3.2521751412429376,0.16833653001501447,wind,persistence
7,354,2.6676234374445373,3.226638418079096,0.17324996116774538,wind,persistence
8,354,2.7784979040542126,3.417711864406779,0.18702979821369947,wind,persistence
9,354,2.7445900089566155,3.4322881355932204,0.2003614205652191,wind,persistence
10,354,2.6858114428300848,3.305536723163842,0.18748098485519082,wind,persistence
11,354,2.7322480193288987,3.39409604519774,0.19499979289191915,wind,persistence
12,354,2.831798541854163,3.530084745762712,0.19781003975803335,wind,persistence
13,354,2.9353190509919793,3.6894067796610166,0.20439267711713882,wind,persistence
14,354,2.8383443797450743,3.695254237288136,0.23189469587671152,wind,persistence
15,354,2.840675607598483,3.7450282485875706,0.24148085967847166,wind,persistence
16,354,3.0055220927074635,3.753728813559322,0.19932359475441208,wind,persistence
17,354,3.038094852479419,3.638757062146893,0.16507345761441927,wind,persistence
18,353,3.029864825447647,3.5068838526912183,0.13602361734264512,wind,persistence
19,353,2.939741393826243,3.511076487252125,0.16272362493390913,wind,persistence
20,353,3.015193701327861,3.436090651558074,0.12249297032933626,wind,persistence
21,353,3.1376431042181494,3.56328611898017,0.11945238202871056,wind,persistence
22,353,3.2602277455817705,3.5230594900849863,0.07460326606544909,wind,persistence
23,353,3.031349151110877,3.388158640226629,0.10531073866478846,wind,persistence
24,352,2.9045536681434245,3.478153409090909,0.16491502055322138,wind,persistence
25,352,3.155166388342114,3.6994034090909094,0.14711480759610807,wind,persistence
26,352,3.090181405714429,3.724261363636364,0.170256567950113,wind,persistence
27,352,3.0309763022681904,3.7190624999999997,0.18501603501737585,wind,persistence
28,352,2.914739987079571,3.7423863636363635,0.22115471149606092,wind,persistence
29,352,3.0736038830939347,3.6588352272727276,0.15995017753642338,wind,persistence
30,352,3.123835151462694,3.7294318181818182,0.16238309110967097,wind,persistence
31,352,2.8813309688811213,3.803153409090909,0.24238371189715868,wind,persistence
32,352,2.998333619327782,3.8552556818181816,0.2222737305159137,wind,persistence
33,352,3.1107799274037817,3.7969886363636363,0.18072445684668537,wind,persistence
34,352,2.874191633174465,3.626818181818182,0.20751703308888048,wind,persistence
35,352,2.9302852191043045,3.633835227272727,0.1936108723059664,wind,persistence
36,352,2.9669417477297553,3.8380965909090907,0.22697574762520345,wind,persistence
37,352,3.107759934257403,4.030710227272727,0.22897956959803922,wind,persistence
38,352,3.1951916424199136,4.265028409090909,0.2508393061088733,wind,persistence
39,352,3.127536569961008,4.271761363636364,0.267857845107089,wind,persistence
40,352,3.1036143936530745,4.226221590909091,0.26562904313177194,wind,persistence
41,352,3.0355014997775798,4.003352272727273,0.24176008180522857,wind,persistence
42,351,2.91980866963201,3.852193732193732,0.24204002378425316,wind,persistence
43,351,2.9919250983553325,3.8798290598290595,0.22885130962776157,wind,persistence
44,351,3.081425637582023,3.839145299145299,0.19736675809898774,wind,persistence
45,351,3.1544139690313777,3.8662393162393163,0.18411311069598502,wind,persistence
46,351,3.194903994959767,4.026438746438746,0.20651866422019816,wind,persistence
47,351,3.168231887743782,3.876381766381766,0.18268321370703755,wind,persistence
48,350,2.991322746719915,3.9047428571428573,0.2339258035268682,wind,persistence
1,354,2.2039574368450037,4.0045762711864406,0.44964028960995805,wind,seasonal_persistence
2,354,2.495022272107143,3.71909604519774,0.329132068173172,wind,seasonal_persistence
3,354,2.5439998993188655,3.5929661016949157,0.2919499301374482,wind,seasonal_persistence
4,354,2.7133412171203934,3.393022598870057,0.20031737542096262,wind,seasonal_persistence
5,354,2.5883749452486646,3.4967514124293784,0.2597772503792646,wind,seasonal_persistence
6,354,2.7047152629650117,3.6995197740113,0.2689009849426067,wind,seasonal_persistence
7,354,2.6676234374445373,3.4983333333333335,0.23745876013972256,wind,seasonal_persistence
8,354,2.7784979040542126,3.6280508474576267,0.2341623585564525,wind,seasonal_persistence
9,354,2.7445900089566155,3.5873446327683616,0.23492435494311303,wind,seasonal_persistence
10,354,2.6858114428300848,3.2756779661016946,0.18007463779279742,wind,seasonal_persistence
11,354,2.7322480193288987,3.160423728813559,0.13548047547579956,wind,seasonal_persistence
12,354,2.831798541854163,3.317683615819209,0.1464531071161439,wind,seasonal_persistence
13,354,2.9353190509919793,3.5076553672316386,0.16316777343247568,wind,seasonal_persistence
14,354,2.8383443797450743,3.2165536723163846,0.11758214881548823,wind,seasonal_persistence
15,354,2.840675607598483,2.986214689265537,0.048736978687506705,wind,seasonal_persistence
16,354,3.0055220927074635,3.0003672316384185,-0.0017180767123063934,wind,seasonal_persistence
17,354,3.038094852479419,2.800084745762712,-0.08500103687107363,wind,seasonal_persistence
18,353,3.029864825447647,3.019773371104816,-0.0033417919501486093,wind,seasonal_persistence
19,353,2.939741393826243,3.0142492917847026,0.02471855866783479,wind,seasonal_persistence
20,353,3.015193701327861,3.2523229461756373,0.07291073142862803,wind,seasonal_persistence
21,353,3.1376431042181494,3.536628895184136,0.1128152833647007,wind,seasonal_persistence
22,353,3.2602277455817705,3.7788101983002833,0.13723432125587365,wind,seasonal_persistence
23,353,3.031349151110877,3.6456657223796034,0.16850600632351687,wind,seasonal_persistence
24,352,2.9045536681434245,3.478153409090909,0.16491502055322138,wind,seasonal_persistence
25,352,3.155166388342114,4.0912500000000005,0.22880137162429248,wind,seasonal_persistence
26,352,3.090181405714429,3.830880681818182,0.19334960747255858,wind,seasonal_persistence
27,352,3.0309763022681904,3.7032670454545453,0.1815399038023835,wind,seasonal_persistence
28,352,2.914739987079571,3.697670454545454,0.21173613957497117,wind,seasonal_persistence
29,352,3.0736038830939347,3.7977840909090905,0.19068493376141504,wind,seasonal_persistence
30,352,3.123835151462694,3.7271022727272727,0.16185955659948748,wind,seasonal_persistence
31,352,2.8813309688811213,3.7267613636363635,0.2268539120869062,wind,seasonal_persistence
32,352,2.998333619327782,3.742159090909091,0.19876906713781906,wind,seasonal_persistence
33,352,3.1107799274037817,3.7923579545454547,0.17972407544618652,wind,seasonal_persistence
34,352,2.874191633174465,3.414801136363636,0.15831361230155172,wind,seasonal_persistence
35,352,2.9302852191043045,3.347244318181818,0.12456787119262347,wind,seasonal_persistence
36,352,2.9669417477297553,3.5673011363636364,0.16829512443288241,wind,seasonal_persistence
37,352,3.107759934257403,3.8526136363636367,0.19333724385850382,wind,seasonal_persistence
38,352,3.1951916424199136,3.6482670454545456,0.12418921021670504,wind,seasonal_persistence
39,352,3.127536569961008,3.394034090909091,0.07851940016215386,wind,seasonal_persistence
40,352,3.1036143936530745,3.2498295454545456,0.04499163717862642,wind,seasonal_persistence
41,352,3.0355014997775798,3.2034375,0.05242368556352994,wind,seasonal_persistence
42,351,2.91980866963201,3.2913675213675213,0.11288889779805977,wind,seasonal_persistence
43,351,2.9919250983553325,3.443618233618234,0.13116817969345695,wind,seasonal_persistence
44,351,3.081425637582023,3.5308547008547007,0.12728619593547308,wind,seasonal_persistence
45,351,3.1544139690313777,3.8732193732193734,0.1855834474953928,wind,seasonal_persistence
46,351,3.194903994959767,4.056923076923077,0.21248100238003464,wind,seasonal_persistence
47,351,3.168231887743782,4.037350427350428,0.21526953264173754,wind,seasonal_persistence
48,350,2.991322746719915,3.9047428571428573,0.2339258035268682,wind,seasonal_persistence
